var1,var2,gamma,threshold
ASIphys,globalClustering,N/A,T1
ASIphys,globalClustering,N/A,T2
ASIphys,networkDensity,N/A,T1
ASIphys,networkDensity,N/A,T2
ASIphys,posParticipation,default,none
ASIphys,posParticipation,default,T1
ASIphys,negParticipation,default,none
ASIphys,negParticipation,default,T1
ASIphys,posDiversity,default,none
ASIphys,posDiversity,default,T1
ASIphys,negDiversity,default,none
ASIphys,negDiversity,default,T1
ASIcog,globalClustering,N/A,T1
ASIcog,globalClustering,N/A,T2
ASIcog,networkDensity,N/A,T1
ASIcog,networkDensity,N/A,T2
ASIcog,posParticipation,default,none
ASIcog,posParticipation,default,T1
ASIcog,negParticipation,default,none
ASIcog,negParticipation,default,T1
ASIcog,posDiversity,default,none
ASIcog,posDiversity,default,T1
ASIcog,negDiversity,default,none
ASIcog,negDiversity,default,T1
ASIsoc,globalClustering,N/A,T1
ASIsoc,globalClustering,N/A,T2
ASIsoc,networkDensity,N/A,T1
ASIsoc,networkDensity,N/A,T2
ASIsoc,posParticipation,default,none
ASIsoc,posParticipation,default,T1
ASIsoc,negParticipation,default,none
ASIsoc,negParticipation,default,T1
ASIsoc,posDiversity,default,none
ASIsoc,posDiversity,default,T1
ASIsoc,negDiversity,default,none
ASIsoc,negDiversity,default,T1
ERSsens,globalClustering,N/A,T1
ERSsens,globalClustering,N/A,T2
ERSsens,networkDensity,N/A,T1
ERSsens,networkDensity,N/A,T2
ERSsens,posParticipation,default,none
ERSsens,posParticipation,default,T1
ERSsens,negParticipation,default,none
ERSsens,negParticipation,default,T1
ERSsens,posDiversity,default,none
ERSsens,posDiversity,default,T1
ERSsens,negDiversity,default,none
ERSsens,negDiversity,default,T1
ERSarous,globalClustering,N/A,T1
ERSarous,globalClustering,N/A,T2
ERSarous,networkDensity,N/A,T1
ERSarous,networkDensity,N/A,T2
ERSarous,posParticipation,default,none
ERSarous,posParticipation,default,T1
ERSarous,negParticipation,default,none
ERSarous,negParticipation,default,T1
ERSarous,posDiversity,default,none
ERSarous,posDiversity,default,T1
ERSarous,negDiversity,default,none
ERSarous,negDiversity,default,T1
ERSpers,globalClustering,N/A,T1
ERSpers,globalClustering,N/A,T2
ERSpers,networkDensity,N/A,T1
ERSpers,networkDensity,N/A,T2
ERSpers,posParticipation,default,none
ERSpers,posParticipation,default,T1
ERSpers,negParticipation,default,none
ERSpers,negParticipation,default,T1
ERSpers,posDiversity,default,none
ERSpers,posDiversity,default,T1
ERSpers,negDiversity,default,none
ERSpers,negDiversity,default,T1
TASddf,globalClustering,N/A,T1
TASddf,globalClustering,N/A,T2
TASddf,networkDensity,N/A,T1
TASddf,networkDensity,N/A,T2
TASddf,posParticipation,default,none
TASddf,posParticipation,default,T1
TASddf,negParticipation,default,none
TASddf,negParticipation,default,T1
TASddf,posDiversity,default,none
TASddf,posDiversity,default,T1
TASddf,negDiversity,default,none
TASddf,negDiversity,default,T1
TASdif,globalClustering,N/A,T1
TASdif,globalClustering,N/A,T2
TASdif,networkDensity,N/A,T1
TASdif,networkDensity,N/A,T2
TASdif,posParticipation,default,none
TASdif,posParticipation,default,T1
TASdif,negParticipation,default,none
TASdif,negParticipation,default,T1
TASdif,posDiversity,default,none
TASdif,posDiversity,default,T1
TASdif,negDiversity,default,none
TASdif,negDiversity,default,T1
